url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667711/SRR8667711_1.fastq.gz,data/seaweed/raw/d2.d1_R1.fastq,forward reads for d2.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667704/SRR8667704_1.fastq.gz,data/seaweed/raw/d2.d20_R1.fastq,forward reads for d2.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667705/SRR8667705_1.fastq.gz,data/seaweed/raw/d2.d31_R1.fastq,forward reads for d2.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667706/SRR8667706_1.fastq.gz,data/seaweed/raw/d2.d35_R1.fastq,forward reads for d2.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667707/SRR8667707_1.fastq.gz,data/seaweed/raw/d2.d41_R1.fastq,forward reads for d2.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667702/SRR8667702_1.fastq.gz,data/seaweed/raw/d3.d1_R1.fastq,forward reads for d3.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667703/SRR8667703_1.fastq.gz,data/seaweed/raw/d3.d20_R1.fastq,forward reads for d3.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667643/SRR8667643_1.fastq.gz,data/seaweed/raw/d3.d31_R1.fastq,forward reads for d3.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667642/SRR8667642_1.fastq.gz,data/seaweed/raw/d3.d35_R1.fastq,forward reads for d3.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667641/SRR8667641_1.fastq.gz,data/seaweed/raw/d3.d41_R1.fastq,forward reads for d3.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667640/SRR8667640_1.fastq.gz,data/seaweed/raw/d4.d31_R1.fastq,forward reads for d4.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667647/SRR8667647_1.fastq.gz,data/seaweed/raw/d5.d31_R1.fastq,forward reads for d5.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667646/SRR8667646_1.fastq.gz,data/seaweed/raw/d6.d31_R1.fastq,forward reads for d6.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667645/SRR8667645_1.fastq.gz,data/seaweed/raw/x1.d1_R1.fastq,forward reads for x1.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667644/SRR8667644_1.fastq.gz,data/seaweed/raw/x1.d20_R1.fastq,forward reads for x1.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667649/SRR8667649_1.fastq.gz,data/seaweed/raw/x1.d31_R1.fastq,forward reads for x1.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667648/SRR8667648_1.fastq.gz,data/seaweed/raw/x1.d35_R1.fastq,forward reads for x1.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667700/SRR8667700_1.fastq.gz,data/seaweed/raw/x1.d41_R1.fastq,forward reads for x1.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667701/SRR8667701_1.fastq.gz,data/seaweed/raw/x2.d1_R1.fastq,forward reads for x2.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667698/SRR8667698_1.fastq.gz,data/seaweed/raw/x2.d20_R1.fastq,forward reads for x2.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667699/SRR8667699_1.fastq.gz,data/seaweed/raw/x2.d31_R1.fastq,forward reads for x2.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667664/SRR8667664_1.fastq.gz,data/seaweed/raw/x2.d35_R1.fastq,forward reads for x2.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667665/SRR8667665_1.fastq.gz,data/seaweed/raw/x2.d41_R1.fastq,forward reads for x2.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667662/SRR8667662_1.fastq.gz,data/seaweed/raw/y1.d1_R1.fastq,forward reads for y1.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667663/SRR8667663_1.fastq.gz,data/seaweed/raw/y1.d20_R1.fastq,forward reads for y1.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667660/SRR8667660_1.fastq.gz,data/seaweed/raw/y1.d31_R1.fastq,forward reads for y1.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667661/SRR8667661_1.fastq.gz,data/seaweed/raw/y1.d35_R1.fastq,forward reads for y1.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667637/SRR8667637_1.fastq.gz,data/seaweed/raw/y1.d41_R1.fastq,forward reads for y1.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667636/SRR8667636_1.fastq.gz,data/seaweed/raw/y2.d1_R1.fastq,forward reads for y2.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667639/SRR8667639_1.fastq.gz,data/seaweed/raw/y2.d20_R1.fastq,forward reads for y2.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667638/SRR8667638_1.fastq.gz,data/seaweed/raw/y2.d31_R1.fastq,forward reads for y2.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667635/SRR8667635_1.fastq.gz,data/seaweed/raw/y2.d35_R1.fastq,forward reads for y2.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667634/SRR8667634_1.fastq.gz,data/seaweed/raw/y2.d41_R1.fastq,forward reads for y2.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667659/SRR8667659_2.fastq.gz,data/seaweed/raw/a1.d1_R2.fastq,reverse reads for a1.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667658/SRR8667658_2.fastq.gz,data/seaweed/raw/a1.d20_R2.fastq,reverse reads for a1.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667657/SRR8667657_2.fastq.gz,data/seaweed/raw/a1.d31_R2.fastq,reverse reads for a1.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667656/SRR8667656_2.fastq.gz,data/seaweed/raw/a1.d35_R2.fastq,reverse reads for a1.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667655/SRR8667655_2.fastq.gz,data/seaweed/raw/a1.d41_R2.fastq,reverse reads for a1.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667654/SRR8667654_2.fastq.gz,data/seaweed/raw/a2.d1_R2.fastq,reverse reads for a2.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667653/SRR8667653_2.fastq.gz,data/seaweed/raw/a2.d20_R2.fastq,reverse reads for a2.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667652/SRR8667652_2.fastq.gz,data/seaweed/raw/a2.d31_R2.fastq,reverse reads for a2.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667651/SRR8667651_2.fastq.gz,data/seaweed/raw/a2.d35_R2.fastq,reverse reads for a2.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667650/SRR8667650_2.fastq.gz,data/seaweed/raw/a2.d41_R2.fastq,reverse reads for a2.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667693/SRR8667693_2.fastq.gz,data/seaweed/raw/a3.d1_R2.fastq,reverse reads for a3.d1
