url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664552/SRR8664552_1.fastq.gz,data/duration/raw/16B-04-05-16_R1_001.fastq.gz,forward reads for 16B-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664548/SRR8664548_1.fastq.gz,data/duration/raw/16C-03-03-16_R1_001.fastq.gz,forward reads for 16C-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664547/SRR8664547_1.fastq.gz,data/duration/raw/16C-03-04-16_R1_001.fastq.gz,forward reads for 16C-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664550/SRR8664550_1.fastq.gz,data/duration/raw/16C-03-20-16_R1_001.fastq.gz,forward reads for 16C-03-20-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664549/SRR8664549_1.fastq.gz,data/duration/raw/16C-03-22-16_R1_001.fastq.gz,forward reads for 16C-03-22-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664544/SRR8664544_1.fastq.gz,data/duration/raw/16C-03-24-16_R1_001.fastq.gz,forward reads for 16C-03-24-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664543/SRR8664543_1.fastq.gz,data/duration/raw/16C-03-28-16_R1_001.fastq.gz,forward reads for 16C-03-28-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664546/SRR8664546_1.fastq.gz,data/duration/raw/16C-04-05-16_R1_001.fastq.gz,forward reads for 16C-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664545/SRR8664545_1.fastq.gz,data/duration/raw/16D-03-03-16_R1_001.fastq.gz,forward reads for 16D-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664542/SRR8664542_1.fastq.gz,data/duration/raw/16D-03-04-16_R1_001.fastq.gz,forward reads for 16D-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664541/SRR8664541_1.fastq.gz,data/duration/raw/16D-03-20-16_R1_001.fastq.gz,forward reads for 16D-03-20-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664621/SRR8664621_1.fastq.gz,data/duration/raw/16D-03-22-16_R1_001.fastq.gz,forward reads for 16D-03-22-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664622/SRR8664622_1.fastq.gz,data/duration/raw/16D-03-24-16_R1_001.fastq.gz,forward reads for 16D-03-24-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664623/SRR8664623_1.fastq.gz,data/duration/raw/16D-03-28-16_R1_001.fastq.gz,forward reads for 16D-03-28-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664624/SRR8664624_1.fastq.gz,data/duration/raw/16D-04-05-16_R1_001.fastq.gz,forward reads for 16D-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664617/SRR8664617_1.fastq.gz,data/duration/raw/2A-03-03-16_R1_001.fastq.gz,forward reads for 2A-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664618/SRR8664618_1.fastq.gz,data/duration/raw/2A-03-04-16_R1_001.fastq.gz,forward reads for 2A-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664619/SRR8664619_1.fastq.gz,data/duration/raw/2A-03-06-16_R1_001.fastq.gz,forward reads for 2A-03-06-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664620/SRR8664620_1.fastq.gz,data/duration/raw/2A-03-08-16_R1_001.fastq.gz,forward reads for 2A-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664614/SRR8664614_1.fastq.gz,data/duration/raw/2A-03-10-16_R1_001.fastq.gz,forward reads for 2A-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664615/SRR8664615_1.fastq.gz,data/duration/raw/2A-03-12-16_R1_001.fastq.gz,forward reads for 2A-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664589/SRR8664589_1.fastq.gz,data/duration/raw/2A-04-05-16_R1_001.fastq.gz,forward reads for 2A-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664583/SRR8664583_1.fastq.gz,data/duration/raw/2B-03-03-16_R1_001.fastq.gz,forward reads for 2B-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664584/SRR8664584_1.fastq.gz,data/duration/raw/2B-03-04-16_R1_001.fastq.gz,forward reads for 2B-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664582/SRR8664582_1.fastq.gz,data/duration/raw/2B-03-06-16_R1_001.fastq.gz,forward reads for 2B-03-06-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664590/SRR8664590_1.fastq.gz,data/duration/raw/2B-03-08-16_R1_001.fastq.gz,forward reads for 2B-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664588/SRR8664588_1.fastq.gz,data/duration/raw/2B-03-10-16_R1_001.fastq.gz,forward reads for 2B-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664573/SRR8664573_1.fastq.gz,data/duration/raw/2B-03-12-16_R1_001.fastq.gz,forward reads for 2B-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664587/SRR8664587_1.fastq.gz,data/duration/raw/2B-04-05-16_R1_001.fastq.gz,forward reads for 2B-04-05-16
