n,effect,r2,r2_sd,power,power_sd,asym_r2,asym_r2_sd,fdr,fdr_sd
16,0.5,0.101788952199813,0.00260538619043652,0.85,0.0849836585598798,0.0564362692133414,0.000757235893392607,0.131578947368421,0.202182992484493
20,0.5,0.0888086121741708,0.00340490272336353,0.97,0.0674948557710553,0.0564362692133414,0.000757235893392607,0.0597014925373134,0.0770742954469138
28,0.5,0.0938249898856982,0.00184296528387908,1,0,0.0564362692133414,0.000757235893392607,0.0517464424320828,0.10909107926411
38,0.5,0.0699134117676008,0.0023721036468895,1,0,0.0564362692133414,0.000757235893392607,0.0985221674876847,0.0778886123194182
50,0.5,0.0770547126533415,0.0021048367986584,1,0,0.0564362692133414,0.000757235893392607,0.0630517023959647,0.107167286960756
70,0.5,0.0638171619836098,0.00211202958880343,1,0,0.0564362692133414,0.000757235893392607,0.0482509047044632,0.0622916501199424
94,0.5,0.0263202416565744,0.000636293606165149,1,0,0.0564362692133414,0.000757235893392607,0.04739336492891,0.061184571030133
128,0.5,0.0564362692133414,0.000757235893392607,1,0,0.0564362692133414,0.000757235893392607,0.0670391061452514,0.0942205634314601
4,0.6,0.378794515384798,0.0187475326795199,0,0,0.0718492659922965,0.00128654249395868,,
6,0.6,0.250129052588256,0.0116569021588887,0,0,0.0718492659922965,0.00128654249395868,,
8,0.6,0.180726117832921,0.00816445320764434,0.28,0.13984117975602,0.0718492659922965,0.00128654249395868,0.191387559808612,0.334548276928278
12,0.6,0.146804319846289,0.00646074068491738,0.98,0.0421637021355784,0.0718492659922965,0.00128654249395868,0.112781954887218,0.131429680221824
16,0.6,0.0910089489379609,0.00538241072719043,0.54,0.189736659610103,0.0718492659922965,0.00128654249395868,0.131578947368421,0.202182992484493
20,0.6,0.108353751150475,0.00440005943523396,1,0,0.0718492659922965,0.00128654249395868,0.0597014925373134,0.0770742954469138
28,0.6,0.0747997056327775,0.00185913250566067,1,0,0.0718492659922965,0.00128654249395868,0.0517464424320828,0.10909107926411
38,0.6,0.0955201561565708,0.00241546733338491,1,0,0.0718492659922965,0.00128654249395868,0.0985221674876847,0.0778886123194182
50,0.6,0.0750918976839829,0.00105250808219358,1,0,0.0718492659922965,0.00128654249395868,0.0630517023959647,0.107167286960756
70,0.6,0.0474615744792477,0.00141003618224838,1,0,0.0718492659922965,0.00128654249395868,0.0482509047044632,0.0622916501199424
94,0.6,0.0526906031342833,0.00088369988519776,1,0,0.0718492659922965,0.00128654249395868,0.04739336492891,0.061184571030133
128,0.6,0.0718492659922965,0.00128654249395868,1,0,0.0718492659922965,0.00128654249395868,0.0670391061452514,0.0942205634314601
4,0.7,0.378123177695791,0.0152151559234256,0,0,0.0614063605500704,0.000898653799435148,,
6,0.7,0.231123645288472,0.00763110895498039,0,0,0.0614063605500704,0.000898653799435148,,
8,0.7,0.202914321556866,0.00883155761378708,0.52,0.168654808542314,0.0614063605500704,0.000898653799435148,0.191387559808612,0.334548276928278
12,0.7,0.139745388036693,0.00481062492435508,0.88,0.0632455532033676,0.0614063605500704,0.000898653799435148,0.112781954887218,0.131429680221824
16,0.7,0.142534447747134,0.00321469254688951,1,0,0.0614063605500704,0.000898653799435148,0.131578947368421,0.202182992484493
